IP,computer_name,Image
104.26.13.171,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
18.155.68.23,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
10.0.0.1,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
192.168.41.1,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
192.168.68.201,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
192.168.223.1,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
172.16.0.2,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
192.168.56.1,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
192.168.29.1,MW-KZH-SKT-01,C:\Windows\System32\svchost.exe
15.223.124.170,MW-KZH-SKT-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
15.223.124.170,MW-BST-LT-VR,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
199.232.210.172,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
199.232.214.172,MW-BST-LT-VR,C:\Windows\System32\svchost.exe
13.91.231.123,MW-KZH-SKT-01,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\124.0.2478.97\msedgewebview2.exe
15.222.106.248,MW-KZH-SKT-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
3.97.206.33,MW-KZH-SKT-01,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
192.168.242.1,MW-FLR-LT2-DP,C:\Windows\System32\svchost.exe
99.79.100.155,MW-FLR-LT2-DP,C:\Program Files\WinlogBeat\winlogbeat.exe
35.182.199.174,MW-FLR-LT2-DP,C:\Program Files\WinlogBeat\winlogbeat.exe
192.168.242.255,MW-FLR-LT2-DP,System
192.168.242.153,MW-FLR-LT2-DP,System
208.38.43.211,MW-FLR-LT2-DP,C:\Windows\System32\svchost.exe
15.222.106.248,MW-FLR-LT2-DP,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
192.168.242.149,MW-FLR-LT2-DP,System
15.223.109.237,MW-FLR-LT2-DP,C:\Program Files\limacharlie\bluepill.exe
15.223.124.170,MW-FLR-LT2-DP,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
172.16.0.18,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.18,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
172.16.0.2,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
172.17.0.1,MW-AUS-WL-06,C:\Windows\System32\svchost.exe
172.16.0.7,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.21,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
172.16.0.7,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
172.17.0.1,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
172.17.0.1,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.21,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.26,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
172.16.0.14,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
13.89.179.13,MW-AUS-WL-06,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
3.97.206.33,MW-FLR-LT2-DP,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
3.97.206.33,MW-KZH-SKT-01,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
13.107.6.158,MW-KZH-SKT-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
192.168.29.215,MW-CLA-JS-01,C:\Program Files\Google\Chrome\Application\chrome.exe
3.97.206.33,MW-AUS-WL-06,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
3.97.206.33,MW-AUS-WL-06,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
18.172.185.58,MW-AUS-WL-06,<unknown process>
15.222.106.248,MW-AUS-WL-06,C:\Program Files\Galaxy\bin\Galaxy\Galaxy.exe
172.16.0.1,MW-AUS-WL-06,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
172.16.0.1,MW-AUS-WL-06,C:\Program Files\Google\Chrome\Application\chrome.exe
34.195.221.192,MW-PN-CV-01,C:\Users\Scooby.Doo\AppData\Local\slack\app-4.38.115\slack.exe
3.97.206.33,MW-KZH-SJ-22,C:\Program Files\Galaxy\bin\osqueryd\windows\stable\osqueryd.exe
127.0.2.2,MW-PN-CV-01,C:\Windows\System32\svchost.exe
192.168.1.2,MW-PN-CV-01,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.233.1042.0_x64__zpdnekdrzrea0\Spotify.exe
192.168.56.255,MW-PN-CV-01,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.233.1042.0_x64__zpdnekdrzrea0\Spotify.exe
192.168.1.255,MW-PN-CV-01,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.233.1042.0_x64__zpdnekdrzrea0\Spotify.exe
172.16.0.2,MW-PN-CV-01,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.233.1042.0_x64__zpdnekdrzrea0\Spotify.exe
192.168.56.1,MW-PN-CV-01,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.233.1042.0_x64__zpdnekdrzrea0\Spotify.exe
127.0.2.3,MW-PN-CV-01,C:\Windows\System32\svchost.exe
108.159.80.104,MW-PN-CV-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
13.107.6.158,MW-PN-CV-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
99.77.145.43,MW-PN-CV-01,C:\Users\Scooby.Doo\AppData\Local\slack\app-4.38.115\slack.exe
3.97.42.61,MW-PN-CV-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
20.24.249.45,MW-PN-CV-01,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
199.232.210.172,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
199.232.214.172,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
106.51.156.146,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
106.51.156.136,MW-KZH-SJ-22,C:\Windows\System32\svchost.exe
18.213.32.120,MW-PN-CV-01,C:\Users\Scooby.Doo\AppData\Local\slack\app-4.38.115\slack.exe
172.16.0.2,MW-PN-CV-01,System
