,computer_name,event_id,message
23,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:51:17.804
ProcessGuid: {ca24abc9-e877-66c3-4509-000000001d00}
ProcessId: 3716
QueryName: www.powershellgallery.com
QueryStatus: 9701
QueryResults: -
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
24,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:52:52.413
ProcessGuid: {ca24abc9-e8e0-66c3-ba09-000000001d00}
ProcessId: 8828
QueryName: www.powershellgallery.com
QueryStatus: 9701
QueryResults: -
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
25,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:06:07.436
ProcessGuid: {ca24abc9-d62f-66c3-4200-000000001d00}
ProcessId: 3268
QueryName: x1.c.lencr.org
QueryStatus: 0
QueryResults: type:  5 crl.root-x1.letsencrypt.org.edgekey.net;type:  5 e8652.dscx.akamaiedge.net;::ffff:184.27.182.40;
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE"
26,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:06:07.533
ProcessGuid: {ca24abc9-d62f-66c3-4800-000000001d00}
ProcessId: 3432
QueryName: x1.c.lencr.org
QueryStatus: 0
QueryResults: type:  5 crl.root-x1.letsencrypt.org.edgekey.net;type:  5 e8652.dscx.akamaiedge.net;184.27.182.40;
Image: C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe
User: NT AUTHORITY\SYSTEM"
27,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:08:05.068
ProcessGuid: {ca24abc9-de5f-66c3-0d02-000000001d00}
ProcessId: 8432
QueryName: www.powershellgallery.com
QueryStatus: 0
QueryResults: type:  5 frontdoor-powershellgallery-cthqd0epb9c7c8fe.z01.azurefd.net;type:  5 star-azurefd-prod.trafficmanager.net;type:  5 shed.dual-low.s-part-0007.t-0009.t-msedge.net;type:  5 s-part-0007.t-0009.t-msedge.net;::ffff:13.107.246.35;
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
28,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:08:05.528
ProcessGuid: {ca24abc9-d62f-66c3-4800-000000001d00}
ProcessId: 3432
QueryName: x1.c.lencr.org
QueryStatus: 9701
QueryResults: -
Image: C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe
User: NT AUTHORITY\SYSTEM"
29,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:08:05.528
ProcessGuid: {ca24abc9-d62f-66c3-4800-000000001d00}
ProcessId: 3432
QueryName: www.powershellgallery.com
QueryStatus: 0
QueryResults: type:  5 frontdoor-powershellgallery-cthqd0epb9c7c8fe.z01.azurefd.net;type:  5 star-azurefd-prod.trafficmanager.net;type:  5 shed.dual-low.s-part-0007.t-0009.t-msedge.net;type:  5 s-part-0007.t-0009.t-msedge.net;13.107.246.35;
Image: C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe
User: NT AUTHORITY\SYSTEM"
30,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:50:37.427
ProcessGuid: {ca24abc9-e84f-66c3-0c09-000000001d00}
ProcessId: 8156
QueryName: www.powershellgallery.com
QueryStatus: 1460
QueryResults: -
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
31,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:50:37.478
ProcessGuid: {ca24abc9-e84f-66c3-0c09-000000001d00}
ProcessId: 8156
QueryName: www.powershellgallery.com
QueryStatus: 9701
QueryResults: -
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
32,MY-CAL-WIN10.my-caldera.local,22,"Dns query:
RuleName: -
UtcTime: 2024-08-20 00:50:57.759
ProcessGuid: {ca24abc9-e866-66c3-3e09-000000001d00}
ProcessId: 992
QueryName: the.earth.li
QueryStatus: 1460
QueryResults: -
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: MY-CALDERA\johnny.douche"
