computer_name,event_id,Image,TargetFilename,User
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68010v2.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule63054v5.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68011v4.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule63056v9.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule63057v3.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule63058v0.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68012v2.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule63059v0.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule63063v1.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule63066v1.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule63067v4.xml,MY-CALDERA\johnny.douche
MY-CAL-WIN10.my-caldera.local,11,C:\Program Files (x86)\Microsoft Office\Root\Office16\WINWORD.EXE,C:\Users\johnny.douche\AppData\Local\Microsoft\Office\16.0\winword.exe_Rules\rule68013v9.xml,MY-CALDERA\johnny.douche
