computer_name,event_id,Image,SourceIp,SourceHostname,SourcePort,User,DestinationIp,DestinationHostname,DestinationPort
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53428,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,59017,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53162,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.221,MY-CAL-WIN11,50970,NT AUTHORITY\NETWORK SERVICE,172.16.26.234,MY-CAL-WIN10.my-caldera.local,7680
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62659,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51178,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62689,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,58699,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,60510,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,52579,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,53517,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,63611,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51503,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.221,MY-CAL-WIN11,50980,NT AUTHORITY\NETWORK SERVICE,172.16.26.234,MY-CAL-WIN10.my-caldera.local,7680
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,60463,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.221,MY-CAL-WIN11,50987,NT AUTHORITY\NETWORK SERVICE,172.16.26.234,MY-CAL-WIN10.my-caldera.local,7680
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,51686,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,57286,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\mstsc.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,50210,MY-CALDERA\johnny.douche,172.16.26.226,MY-CAL-DC,3389
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,172.16.26.234,MY-CAL-WIN10.my-caldera.local,62752,NT AUTHORITY\NETWORK SERVICE,1.1.1.1,one.one.one.one,53
MY-CAL-WIN10.my-caldera.local,3,C:\Windows\System32\svchost.exe,fe80:0:0:0:e780:23dd:6c8c:c7a8,MY-CAL-WIN10.my-caldera.local,53078,NT AUTHORITY\NETWORK SERVICE,ff02:0:0:0:0:0:1:3,-,5355
